Name,Event,Description,Cost,Date,Time,Address,Ticket_URL,Keywords
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"A bawdy, 21+ interactive comedy: one performer downs several shots and then attempts to perform Shakespeare’s Romeo & Juliet while the sober ensemble tries to keep the play on track. Expect audience interaction and adult humor; running time ~90 minutes.",N/A,2026-05-02,9:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.axs.com/events/1325009/drunk-shakespeare-romeo-and-juliet-tickets,"comedy, sketch, unscripted, interactive, rowdy, adults, late-night, shakespearean-comedy, audience-participation"
New York Comedy Club - Upper West Side,"Caitlin Peluffo, Fabrizio Copano, Pat Burtscher, Phil Duckett, Jesse Eigner","A fast-paced showcase of top-tier comics and club favorites, perfect after a day at the Met or Central Park. Expect multiple performers, surprise drop-ins, and an intimate NYC stand-up experience.",$47.16,2026-05-01,6:15 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/caitlin-peluffo-fabrizio-copano-pat-burtscher-phil-duckett-jesse-eigner,"comedy, stand-up, humor, comedian, energetic, intimate, adults, comedy-showcase, surprise-guests"
New York Comedy Club - Upper West Side,"Alingon Mitra, Eagle Witt, Christine Berg, Erin Maguire","An Upper West Side showcase featuring a mix of club regulars and national comics delivering classic New York stand-up. Multiple comics perform in a lively, intimate room.",$53.68,2026-05-01,8:30 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/alingon-mitra-eagle-witt-christine-berg-erin-maguire,"comedy, stand-up, humor, comedian, energetic, intimate, adults, groups, showcase, classic-ny-standup"
New York Comedy Club - Upper West Side,"Kaneez Surka, Damien Lemon, Christine Berg, Gastor Almonte",A high-energy evening showcase with a lineup of established and rising comedians. The show offers a rapid-fire series of stand-up sets in the club's intimate UWS room.,$47.16,2026-05-01,10:45 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/kaneez-surka-damien-lemon-christine-berg-gastor-almonte,"comedy, stand-up, humor, comedian, energetic, intimate, adults, comedy-showcase, stand-up-lineup"
New York Comedy Club - Upper West Side,Matinee with Ry Daddy,"A matinee mix of fresh faces, club favorites, and citywide stars—an early show for those who want a comedy fix before the evening. Short sets from multiple comics in an upbeat daytime setting.",$36.29,2026-05-02,4:00 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/matinee-with-ry-daddy-2026-03-23154403,"comedy, stand-up, humor, laughs, energetic, casual, groups, matinee-comedy, multi-comic"
New York Comedy Club - Upper West Side,"Vinny Guadagnino, Eric Neumann, Matt Bachus, Riley Lassin",An Upper West Side evening showcase featuring well-known and local comics delivering stand-up sets in an intimate club atmosphere. Expect a varied lineup and lively crowd interaction.,$47.16,2026-05-02,6:15 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/vinny-guadagnino-eric-neumann-matt-bachus-riley-lassin,"comedy, stand-up, humor, comedian, energetic, intimate, adults, comedy-showcase, crowd-interaction"
New York Comedy Club - Upper West Side,"Jared Harvin, Oscar Aydin, Luisa Lange, Max Antonucci","A classic club show with multiple comics, offering a raw, brick-wall stand-up experience typical of New York's comedy scene. The lineup includes a mix of rising talents and favorites.",$53.68,2026-05-02,8:30 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/jared-harvin-oscar-aydin-luisa-lange-max-antonucci,"comedy, stand-up, humor, comedian, energetic, adults, groups, brick-wall, multi-comic-lineup"
New York Comedy Club - Upper West Side,"Neko White, Marie Faustin, Max Antonucci","A late-night showcase featuring multiple stand-up performers in the club's intimate Upper West Side room. Expect sharp sets, surprise drop-ins, and a lively late-evening vibe.",$47.16,2026-05-02,10:45 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/neko-white-marie-faustin-max-antonucci,"comedy, stand-up, humor, late-night, energetic, adults, groups, stand-up-showcase, surprise-performers"
Asylum NYC,OUTLAUGH: NEW YORK - Episode 7,"A live comedy competition where comedian castaways compete in Survivor-style challenges, featuring improvisation, stand-up, and game-show twists. Hosted by Jared Laxer with co-host Elle Rochford.",$36 +,2026-04-30,8:00 PM,"123 E 24th St, New York, NY 10010, USA",https://www.tixr.com/groups/asylumnyc/events/outlaugh-new-york-episode-7-180805,"comedy, stand-up, improv, energetic, rowdy, groups, game-show-comedy, survivor-style-challenges"
Magnet Theater,Musical Megawatt — Mona Lisa & Lil' Spoon,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases everything you love about musical theater, all made up on the spot. Each set features different house ensembles performing improvised musicals.",$8,2026-04-30,6:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60571/,"comedy, improv, musical-improv, sketch, energetic, groups, rowdy, musical-theater, house-ensembles"
Magnet Theater,Musical Megawatt — Factory Factory & Middle Brain,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases everything you love about musical theater, all made up on the spot. Each set features different house ensembles performing improvised musicals.",$8,2026-04-30,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60572/,"comedy, improv, musical-improv, sketch, energetic, groups, adults, live-music, unscripted"
Magnet Theater,Musical Megawatt — The Night Crew & Grinch Debussy,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases everything you love about musical theater, all made up on the spot. Each set features different house ensembles performing improvised musicals.",$8,2026-04-30,8:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60573/,"comedy, improv, musical-improv, sketch, energetic, groups, adults, musical-theater, house-ensembles"
Magnet Theater,Musical Megawatt — Backseat Driver & Houndstooth,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases everything you love about musical theater, all made up on the spot. Each set features different house ensembles performing improvised musicals.",$8,2026-04-30,9:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60574/,"comedy, improv, musical-improv, sketch, energetic, groups, adults, musical-theater, unscripted-performance"
Magnet Theater,Musical Improv Level Three Class Show,Graduates of Musical Improv Level Three take the stage and showcase what they've learned. A student showcase featuring improvised musical scenes and songs.,$5,2026-05-01,6:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60407/,"comedy, improv, musical-improv, sketch, energetic, interactive, groups, student-showcase, improvised-music"
Magnet Theater,Premiere: The Improvised Musical,"Welcome to Premiere: The Improvised Musical, featuring NYC's top comedy performers and instructors. Each week the cast takes a suggestion from the audience and turns it into a fully crafted musical performed on the spot.",$17,2026-05-01,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60650/,"comedy, improv, unscripted, interactive, energetic, groups, improvised-musical, audience-participation"
Magnet Theater,The Friday Night Sh*w,"The Friday Night Sh*w invites audience members to offer their repressed rants and confessions to fuel a fast-paced brawl of hilarity, performed by a rotating cast of NYC improvisers. Audience submissions may be used anonymously to inspire scenes.",$17,2026-05-01,9:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60651/,"comedy, improv, unscripted, energetic, rowdy, groups, audience-participation, confessions, fast-paced"
Magnet Theater,Spaghetti Presents: One-Hour Photo,"World-famous improv team Spaghetti asks audience members to send a safe-for-work photo, then interviews the photographer and performs improvised scenes based on the photo and interview. A playful, audience-driven improv show.",$10,2026-05-01,10:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60686/,"comedy, improv, unscripted, interactive, energetic, groups, audience-participation, photo-improv"
Magnet Theater,Advanced Improv Level 1 Class Show,Graduates of Advanced Improv Level 1 take the stage and showcase what they've learned in this student performance. Short-form and long-form improvisation performed by class ensembles.,$5,2026-05-02,4:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60382/,"comedy, improv, unscripted, sketch, energetic, interactive, groups, student-performers, class-showcase"
Magnet Theater,Advanced Improv Level 1 Class Show,Graduates of Advanced Improv Level 1 take the stage and showcase what they've learned in this student performance. Short-form and long-form improvisation performed by class ensembles.,$5,2026-05-02,6:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60386/,"comedy, improv, unscripted, sketch, energetic, interactive, groups, student-performers, improv-show"
Magnet Theater,The Armando Diaz Experience,"The Armando Diaz Experience features a guest monologist whose true stories are brought to life by a rotating cast of improv all‑stars. A long-running, high-level improvised show known for bold, inventive scenes.",$17,2026-05-02,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60634/,"comedy, improv, monologue, unscripted, energetic, adults, groups, storytelling, sketch-based"
Magnet Theater,Trike,"Trike is a late-night improv duo show praised by the New York Times for its layered, playful physical transformation and careful scenework. A two-person improv performance delivering detailed, fast-paced scenes.",$17,2026-05-02,9:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/60635/,"comedy, improv, sketch, late-night, energetic, adults, physical-comedy, improv-duo, scenework"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$18.00,2026-04-30,7:30 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, casual, comedy-lineup, live-performers"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$18.00,2026-04-30,9:30 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, comedy-lineup, live-stand-up"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$18.00,2026-04-30,11:30 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, comedian, humor, intimate, energetic, adults, groups, nightly-lineup, live-stand-up"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-01,6:00 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, comedy-lineup, stand-up-comedy"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-01,8:00 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, late-night, casual, adults, comedian-lineup, drop-in-comedy"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-01,10:00 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, comedy-lineup, live-stand-up"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-01,11:55 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, late-night, energetic, adults, comedy-lineup, stand-up-comics"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-02,6:00 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, comedy-lineup, live-stand-up"
Village Underground,Comedy Cellar Lineup,Stand-up comedy show presented by the Comedy Cellar featuring the nightly lineup (performers vary). Individual comedian appearances are subject to change.,$25.00,2026-05-02,8:00 PM,"130 W 3rd St, New York, NY 10012, USA",http://thevillageunderground.com/,"comedy, stand-up, humor, comedian, energetic, adults, late-night, stand-up-lineup, comedy-cellar"
